,sigma,force,rmodav,rmodsqd,dmax
,0.040,0.700,0.9999361,0.0000000,0.0000000
,0.040,0.720,0.9999364,0.0000000,0.0000000
,0.040,0.740,0.9999367,0.0000000,0.0000000
,0.040,0.760,0.9999369,0.0000000,0.0000000
,0.040,0.780,0.9999372,0.0000000,0.0000000
,0.040,0.800,0.9999375,0.0000000,0.0000000
,0.040,0.820,0.9999378,0.0000000,0.0000000
,0.040,0.840,0.9999381,0.0000000,0.0000000
,0.040,0.860,0.9999384,0.0000000,0.0000000
,0.040,0.880,0.9999386,0.0000000,0.0000000
,0.040,0.900,0.9999389,0.0000000,0.0000000
,0.040,0.920,0.9999392,0.0000000,0.0000000
,0.040,0.940,0.9999395,0.0000000,0.0000000
,0.040,0.960,0.9999397,0.0000000,0.0000000
,0.040,0.980,0.9999400,0.0000000,0.0000000
,0.040,1.000,0.9999403,0.0000000,0.0000000
,0.040,1.020,0.9999405,0.0000000,0.0000000
,0.040,1.040,0.9999408,0.0000000,0.0000000
,0.040,1.060,0.9999411,0.0000000,0.0000000
,0.040,1.080,0.9999413,0.0000000,0.0000000
,0.040,1.100,0.9999416,0.0000000,0.0000000
,0.040,1.120,0.9999418,0.0000000,0.0000000
,0.040,1.140,0.9999421,0.0000000,0.0000000
,0.040,1.160,0.9999423,0.0000000,0.0000000
,0.040,1.180,0.9999426,0.0000000,0.0000000
,0.040,1.200,0.9999428,0.0000000,0.0000000
,0.040,1.220,0.9999431,0.0000000,0.0000000
,0.040,1.240,0.9999433,0.0000000,0.0000000
,0.040,1.260,0.9999436,0.0000000,0.0000000
,0.040,1.280,0.9999438,0.0000000,0.0000000
,0.040,1.300,0.9999441,0.0000000,0.0000000
,0.040,1.320,0.9999443,0.0000000,0.0000000
,0.040,1.340,0.9999445,0.0000000,0.0000000
,0.040,1.360,0.9999448,0.0000000,0.0000000
,0.040,1.380,0.9999450,0.0000000,0.0000000
,0.040,1.400,0.9999453,0.0000000,0.0000000
,0.040,1.420,0.9999455,0.0000000,0.0000000
,0.040,1.440,0.9999457,0.0000000,0.0000000
,0.040,1.460,0.9999459,0.0000000,0.0000000
,0.040,1.480,0.9999462,0.0000000,0.0000000
,0.040,1.500,0.9999464,0.0000000,0.0000000
,0.040,1.520,0.9999466,0.0000000,0.0000000
,0.040,1.540,0.9999468,0.0000000,0.0000000
,0.040,1.560,0.9999471,0.0000000,0.0000000
,0.040,1.580,0.9999473,0.0000000,0.0000000
,0.040,1.600,0.9999475,0.0000000,0.0000000
,0.040,1.620,0.9999477,0.0000000,0.0000000
,0.040,1.640,0.9999479,0.0000000,0.0000000
,0.040,1.660,0.9999482,0.0000000,0.0000000
,0.040,1.680,0.9999484,0.0000000,0.0000000
,0.040,1.700,0.9999486,0.0000000,0.0000000
,0.040,1.720,0.9999488,0.0000000,0.0000000
,0.040,1.740,0.9999490,0.0000000,0.0000000
,0.040,1.760,0.9999492,0.0000000,0.0000000
,0.040,1.780,0.9999494,0.0000000,0.0000000
,0.040,1.800,0.9999496,0.0000000,0.0000000
,0.040,1.820,0.9999498,0.0000000,0.0000000
,0.040,1.840,0.9999500,0.0000000,0.0000000
,0.040,1.860,0.9999502,0.0000000,0.0000000
,0.040,1.880,0.9999504,0.0000000,0.0000000
,0.040,1.900,0.9999506,0.0000000,0.0000000
,0.040,1.920,0.9999508,0.0000000,0.0000000
,0.040,1.940,0.9999510,0.0000000,0.0000000
,0.040,1.960,0.9999512,0.0000000,0.0000000
,0.040,1.980,0.9999514,0.0000000,0.0000000
,0.040,2.000,0.9999516,0.0000000,0.0000000
,0.060,0.000,0.0008877,0.3447394,0.0006969
,0.060,0.020,0.0140143,0.0526774,0.0015875
,0.060,0.040,0.0263068,0.0667033,0.0016884
,0.060,0.060,0.0431852,0.0622186,0.0028933
,0.060,0.080,0.0600442,0.0566856,0.0036317
,0.060,0.100,0.0847362,0.0834004,0.0065428
,0.060,0.120,0.1078683,0.0955626,0.0111737
,0.060,0.140,0.1401768,0.0726695,0.0133630
,0.060,0.160,0.9999271,0.0000000,0.0000000
,0.060,0.180,0.9999275,0.0000000,0.0000000
,0.060,0.200,0.9999279,0.0000000,0.0000000
,0.060,0.220,0.9999283,0.0000000,0.0000000
,0.060,0.240,0.9999286,0.0000000,0.0000000
,0.060,0.260,0.9999290,0.0000000,0.0000000
,0.060,0.280,0.9999293,0.0000000,0.0000000
,0.060,0.300,0.9999297,0.0000000,0.0000000
,0.060,0.320,0.9999300,0.0000000,0.0000000
,0.060,0.340,0.9999304,0.0000000,0.0000000
,0.060,0.360,0.9999307,0.0000000,0.0000000
,0.060,0.380,0.9999310,0.0000000,0.0000000
,0.060,0.400,0.9999314,0.0000000,0.0000000
,0.060,0.420,0.9999317,0.0000000,0.0000000
,0.060,0.440,0.9999320,0.0000000,0.0000000
,0.060,0.460,0.9999323,0.0000000,0.0000000
,0.060,0.480,0.9999327,0.0000000,0.0000000
,0.060,0.500,0.9999330,0.0000000,0.0000000
,0.060,0.520,0.9999333,0.0000000,0.0000000
,0.060,0.540,0.9999336,0.0000000,0.0000000
,0.060,0.560,0.9999339,0.0000000,0.0000000
,0.060,0.580,0.9999342,0.0000000,0.0000000
,0.060,0.600,0.9999345,0.0000000,0.0000000
,0.060,0.620,0.9999349,0.0000000,0.0000000
,0.060,0.640,0.9999352,0.0000000,0.0000000
,0.060,0.660,0.9999355,0.0000000,0.0000000
,0.060,0.680,0.9999358,0.0000000,0.0000000
,0.060,0.700,0.9999361,0.0000000,0.0000000
,0.060,0.720,0.9999363,0.0000000,0.0000000
,0.060,0.740,0.9999366,0.0000000,0.0000000
,0.060,0.760,0.9999369,0.0000000,0.0000000
,0.060,0.780,0.9999372,0.0000000,0.0000000
,0.060,0.800,0.9999375,0.0000000,0.0000000
,0.060,0.820,0.9999378,0.0000000,0.0000000
,0.060,0.840,0.9999381,0.0000000,0.0000000
,0.060,0.860,0.9999383,0.0000000,0.0000000
,0.060,0.880,0.9999386,0.0000000,0.0000000
,0.060,0.900,0.9999389,0.0000000,0.0000000
,0.060,0.920,0.9999392,0.0000000,0.0000000
,0.060,0.940,0.9999395,0.0000000,0.0000000
,0.060,0.960,0.9999397,0.0000000,0.0000000
